Entry # 1 	Count 1 	Time (ms) 10079 	Angle 165 	Light 747 	Temp 32.71 C 	Battery 3.46 V, Panel 3.53 V
Entry # 2 	Count 1 	Time (ms) 10092 	Angle 85 	Light 834 	Temp 23.44 C 	Battery 0.00 V, Panel 0.00 V
Entry # 3 	Count 2 	Time (ms) 10648 	Angle 0 	Light 352 	Temp 23.54 C 	Battery 3.98 V, Panel 0.00 V
Entry # 4 	Count 3 	Time (ms) 11740 	Angle 85 	Light 820 	Temp 23.27 C 	Battery 4.09 V, Panel 0.02 V
Entry # 5 	Count 1 	Time (ms) 10092 	Angle 85 	Light 825 	Temp 22.46 C 	Battery 4.08 V, Panel 0.00 V
Entry # 6 	Count 1 	Time (ms) 10092 	Angle 85 	Light 999 	Temp 20.02 C 	Battery 4.09 V, Panel 4.72 V
Entry # 7 	Count 1 	Time (ms) 10092 	Angle 85 	Light 684 	Temp 25.39 C 	Battery 4.09 V, Panel 0.00 V
Entry # 8 	Count 2 	Time (ms) 10366 	Angle 0 	Light 134 	Temp 23.93 C 	Battery 4.07 V, Panel 0.00 V
Entry # 9 	Count 3 	Time (ms) 11458 	Angle 85 	Light 687 	Temp 23.60 C 	Battery 4.09 V, Panel 0.00 V
Entry # 10 	Count 1 	Time (ms) 10092 	Angle 85 	Light 814 	Temp 22.95 C 	Battery 4.07 V, Panel 0.00 V
Entry # 11 	Count 2 	Time (ms) 10366 	Angle 0 	Light 168 	Temp 23.93 C 	Battery 4.08 V, Panel 0.00 V
Entry # 12 	Count 3 	Time (ms) 11458 	Angle 85 	Light 817 	Temp 24.41 C 	Battery 4.08 V, Panel 0.00 V
Entry # 13 	Count 1 	Time (ms) 10092 	Angle 100 	Light 782 	Temp 25.39 C 	Battery 4.08 V, Panel 0.00 V
Entry # 14 	Count 2 	Time (ms) 10607 	Angle 0 	Light 66 	Temp 24.78 C 	Battery 3.96 V, Panel 0.00 V
Entry # 15 	Count 3 	Time (ms) 11851 	Angle 100 	Light 794 	Temp 24.71 C 	Battery 4.06 V, Panel 0.00 V
Entry # 16 	Count 1 	Time (ms) 10093 	Angle 100 	Light 1007 	Temp 25.39 C 	Battery 4.09 V, Panel 4.13 V
Entry # 17 	Count 2 	Time (ms) 10611 	Angle 0 	Light 159 	Temp 24.90 C 	Battery 4.08 V, Panel 4.59 V
Entry # 18 	Count 3 	Time (ms) 11853 	Angle 100 	Light 1004 	Temp 25.00 C 	Battery 4.07 V, Panel 4.55 V
Entry # 19 	Count 1 	Time (ms) 10093 	Angle 100 	Light 1003 	Temp 22.46 C 	Battery 4.06 V, Panel 4.49 V
Entry # 20 	Count 1 	Time (ms) 10094 	Angle 0 	Light 436 	Temp 25.88 C 	Battery 0.00 V, Panel 0.00 V
Entry # 21 	Count 1 	Time (ms) 10093 	Angle 0 	Light 716 	Temp 26.37 C 	Battery 0.00 V, Panel 0.00 V
Entry # 22 	Count 1 	Time (ms) 10093 	Angle 0 	Light 786 	Temp 25.88 C 	Battery 3.94 V, Panel 0.01 V
Entry # 23 	Count 2 	Time (ms) 11237 	Angle 75 	Light 687 	Temp 24.17 C 	Battery 4.09 V, Panel 0.02 V
